"DATE_COLLECT","TYP","CUST_CD","CUST_NAME","CUST_ITEM_CD","ITEM_CD","ITEM_NAME","MODEL","PO_NUMBER","CREATED_DATE","SHIP_PLAN_DATE","DELIVERY_DATE","DELIVERY_TIME","SHIP_NOTE","MT","QTY","SHIP_QTY"
"2019-01-31","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-01-31","2019-02-12","2019-02-13","00:00:00","2019/02/13","02","276","0"
"2019-01-31","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500327737","2018-12-10","2019-01-29","2019-01-30","08:00:00","2019/01/23","01","108","108"
"2019-01-31","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-01-31","2019-04-09","2019-04-10","00:00:00","","04","303","0"
"2019-01-31","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-01-31","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-01-31","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-01-31","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-01-31","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500327737","2018-12-10","2019-01-15","2019-01-16","08:00:00","2019/01/09","01","564","564"
"2019-01-31","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-01-31","2019-05-07","2019-05-08","00:00:00","","05","433","0"
"2019-02-01","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-01-31","2019-06-11","2019-06-12","00:00:00","","06","443","0"
"2019-02-01","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-01-31","2019-05-07","2019-05-08","00:00:00","","05","433","0"
"2019-02-01","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-01-31","2019-02-12","2019-02-13","00:00:00","2019/02/13","02","276","0"
"2019-02-01","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-01-31","2019-04-09","2019-04-10","00:00:00","","04","303","0"
"2019-02-01","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-01-31","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-02-01","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-01-31","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-02-02","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-01","2019-05-07","2019-05-08","00:00:00","","05","433","0"
"2019-02-02","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-01","2019-04-09","2019-04-10","00:00:00","","04","303","0"
"2019-02-02","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-02-01","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-02-02","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-01","2019-06-11","2019-06-12","00:00:00","","06","443","0"
"2019-02-02","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-01","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-02-02","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-01","2019-02-12","2019-02-13","00:00:00","2019/02/13","02","276","0"
"2019-02-03","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-02","2019-04-09","2019-04-10","00:00:00","","04","303","0"
"2019-02-03","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-02-02","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-02-03","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-02","2019-02-12","2019-02-13","00:00:00","2019/02/13","02","276","0"
"2019-02-03","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-02","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-02-03","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-02","2019-06-11","2019-06-12","00:00:00","","06","443","0"
"2019-02-03","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-02","2019-05-07","2019-05-08","00:00:00","","05","433","0"
"2019-02-04","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-04","2019-04-09","2019-04-10","00:00:00","","04","303","0"
"2019-02-04","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-02-04","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-02-04","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-04","2019-06-11","2019-06-12","00:00:00","","06","443","0"
"2019-02-04","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-04","2019-05-07","2019-05-08","00:00:00","","05","433","0"
"2019-02-04","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-04","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-02-04","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-04","2019-02-12","2019-02-13","00:00:00","2019/02/13","02","276","0"
"2019-02-05","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-02-05","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-02-05","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-05","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-02-05","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-05","2019-02-12","2019-02-13","00:00:00","2019/02/13","02","276","0"
"2019-02-05","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-05","2019-06-11","2019-06-12","00:00:00","","06","443","0"
"2019-02-05","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-05","2019-04-09","2019-04-10","00:00:00","","04","303","0"
"2019-02-05","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-05","2019-05-07","2019-05-08","00:00:00","","05","433","0"
"2019-02-06","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-06","2019-02-12","2019-02-13","00:00:00","2019/02/13","02","276","0"
"2019-02-06","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-06","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-02-06","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-06","2019-06-11","2019-06-12","00:00:00","","06","443","0"
"2019-02-06","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-06","2019-04-09","2019-04-10","00:00:00","","04","303","0"
"2019-02-06","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-06","2019-05-07","2019-05-08","00:00:00","","05","433","0"
"2019-02-06","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-02-06","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-02-07","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-07","2019-04-09","2019-04-10","00:00:00","","04","303","0"
"2019-02-07","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-07","2019-06-11","2019-06-12","00:00:00","","06","443","0"
"2019-02-07","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-07","2019-05-07","2019-05-08","00:00:00","","05","433","0"
"2019-02-07","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-02-07","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-02-07","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-07","2019-02-12","2019-02-13","00:00:00","2019/02/13","02","276","0"
"2019-02-07","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-07","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-02-08","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-08","2019-02-12","2019-02-13","00:00:00","2019/02/13","02","276","0"
"2019-02-08","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-08","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-02-08","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-08","2019-06-11","2019-06-12","00:00:00","","06","523","0"
"2019-02-08","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500332333","2019-02-08","2019-04-09","2019-04-10","00:00:00","2019/04/10","04","120","0"
"2019-02-08","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-08","2019-05-07","2019-05-08","00:00:00","","05","491","0"
"2019-02-08","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-02-08","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-02-09","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500332333","2019-02-08","2019-04-09","2019-04-10","00:00:00","2019/04/10","04","120","0"
"2019-02-09","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-08","2019-05-07","2019-05-08","00:00:00","","05","491","0"
"2019-02-09","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-02-08","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-02-09","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-08","2019-02-12","2019-02-13","00:00:00","2019/02/13","02","276","0"
"2019-02-09","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-08","2019-06-11","2019-06-12","00:00:00","","06","523","0"
"2019-02-09","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-08","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-02-10","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-08","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-02-10","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-08","2019-02-12","2019-02-13","00:00:00","2019/02/13","02","276","0"
"2019-02-10","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500332333","2019-02-08","2019-04-09","2019-04-10","00:00:00","2019/04/10","04","120","0"
"2019-02-10","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-08","2019-05-07","2019-05-08","00:00:00","","05","491","0"
"2019-02-10","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-02-08","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-02-10","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-08","2019-06-11","2019-06-12","00:00:00","","06","523","0"
"2019-02-11","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-02-11","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-02-11","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-11","2019-06-11","2019-06-12","00:00:00","","06","523","0"
"2019-02-11","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-11","2019-02-12","2019-02-13","00:00:00","2019/02/13","02","276","0"
"2019-02-11","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-11","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-02-11","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500332333","2019-02-11","2019-04-09","2019-04-10","00:00:00","2019/04/10","04","120","0"
"2019-02-11","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-11","2019-05-07","2019-05-08","00:00:00","","05","491","0"
"2019-02-12","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-12","2019-06-11","2019-06-12","00:00:00","","06","569","0"
"2019-02-12","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-12","2019-05-14","2019-05-15","00:00:00","","05","523","0"
"2019-02-12","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-02-12","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-02-12","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-12","2019-04-09","2019-04-10","00:00:00","","04","491","0"
"2019-02-12","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-12","2019-02-12","2019-02-13","00:00:00","2019/02/13","02","276","0"
"2019-02-12","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500332333","2019-02-12","2019-03-11","2019-03-12","00:00:00","2019/04/10","03","120","0"
"2019-02-12","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-12","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-02-13","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500332333","2019-02-13","2019-03-11","2019-03-12","00:00:00","2019/04/10","03","120","0"
"2019-02-13","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-13","2019-05-14","2019-05-15","00:00:00","","05","523","0"
"2019-02-13","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-13","2019-02-13","2019-02-13","00:00:00","2019/02/13","02","276","0"
"2019-02-13","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-02-13","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-02-13","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-13","2019-06-11","2019-06-12","00:00:00","","06","569","0"
"2019-02-13","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-13","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-02-13","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-13","2019-04-09","2019-04-10","00:00:00","","04","491","0"
"2019-02-14","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-14","2019-05-14","2019-05-15","00:00:00","","05","523","0"
"2019-02-14","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500332333","2019-02-14","2019-03-11","2019-03-12","00:00:00","2019/04/10","03","120","0"
"2019-02-14","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-01-14","2019-02-12","2019-02-13","08:00:00","2019/02/13","02","276","276"
"2019-02-14","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-02-14","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-02-14","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-14","2019-06-11","2019-06-12","00:00:00","","06","569","0"
"2019-02-14","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-14","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-02-14","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-14","2019-04-09","2019-04-10","00:00:00","","04","491","0"
"2019-02-15","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-01-14","2019-02-12","2019-02-13","08:00:00","2019/02/13","02","276","276"
"2019-02-15","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-15","2019-06-11","2019-06-12","00:00:00","","06","569","0"
"2019-02-15","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-15","2019-04-09","2019-04-10","00:00:00","","04","491","0"
"2019-02-15","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500332333","2019-02-15","2019-03-11","2019-03-12","00:00:00","2019/04/10","03","120","0"
"2019-02-15","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-02-15","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-02-15","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-15","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-02-15","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-15","2019-05-14","2019-05-15","00:00:00","","05","523","0"
"2019-02-16","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-15","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-02-16","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-02-15","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-02-16","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-15","2019-05-14","2019-05-15","00:00:00","","05","523","0"
"2019-02-16","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-15","2019-04-09","2019-04-10","00:00:00","","04","491","0"
"2019-02-16","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-15","2019-06-11","2019-06-12","00:00:00","","06","569","0"
"2019-02-16","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500332333","2019-02-15","2019-03-11","2019-03-12","00:00:00","2019/04/10","03","120","0"
"2019-02-16","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-01-14","2019-02-12","2019-02-13","08:00:00","2019/02/13","02","276","276"
"2019-02-17","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-15","2019-05-14","2019-05-15","00:00:00","","05","523","0"
"2019-02-17","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-01-14","2019-02-12","2019-02-13","08:00:00","2019/02/13","02","276","276"
"2019-02-17","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-15","2019-04-09","2019-04-10","00:00:00","","04","491","0"
"2019-02-17","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-15","2019-06-11","2019-06-12","00:00:00","","06","569","0"
"2019-02-17","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500332333","2019-02-15","2019-03-11","2019-03-12","00:00:00","2019/04/10","03","120","0"
"2019-02-17","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-15","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-02-17","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-02-15","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-02-18","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-15","2019-05-14","2019-05-15","00:00:00","","05","523","0"
"2019-02-18","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-15","2019-04-09","2019-04-10","00:00:00","","04","491","0"
"2019-02-18","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-15","2019-06-11","2019-06-12","00:00:00","","06","569","0"
"2019-02-18","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500332333","2019-02-15","2019-03-11","2019-03-12","00:00:00","2019/04/10","03","120","0"
"2019-02-18","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-15","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-02-18","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-02-15","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-02-18","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-01-14","2019-02-12","2019-02-13","08:00:00","2019/02/13","02","276","276"
"2019-02-19","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-15","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-02-19","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-02-15","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-02-19","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-15","2019-05-14","2019-05-15","00:00:00","","05","523","0"
"2019-02-19","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-15","2019-04-09","2019-04-10","00:00:00","","04","491","0"
"2019-02-19","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-15","2019-06-11","2019-06-12","00:00:00","","06","569","0"
"2019-02-19","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500332333","2019-02-15","2019-03-11","2019-03-12","00:00:00","2019/04/10","03","120","0"
"2019-02-19","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-01-14","2019-02-12","2019-02-13","08:00:00","2019/02/13","02","276","276"
"2019-02-20","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-20","2019-04-09","2019-04-10","00:00:00","","04","491","0"
"2019-02-20","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500331320","2019-02-20","2019-03-12","2019-03-13","00:00:00","2019/03/13","03","684","0"
"2019-02-20","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-01-14","2019-02-12","2019-02-13","08:00:00","2019/02/13","02","276","276"
"2019-02-20","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-20","2019-06-11","2019-06-12","00:00:00","","06","569","0"
"2019-02-20","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500332333","2019-02-20","2019-03-11","2019-03-12","00:00:00","2019/04/10","03","120","0"
"2019-02-20","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-20","2019-05-14","2019-05-15","00:00:00","","05","523","0"
"2019-02-20","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-20","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
"2019-02-21","2:Daily forecast","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","","2019-02-21","2019-05-14","2019-05-15","00:00:00","","05","523","0"
"2019-02-21","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500332333","2019-02-21","2019-03-11","2019-03-12","00:00:00","2019/04/10","03","120","0"
"2019-02-21","1:Firm","F30410","SCTL","1610061J00000","16100-61J00-EP","PUMP ASSY  OIL","G15","4500330019","2019-02-21","2019-02-26","2019-02-27","00:00:00","2019/02/27","02","180","0"
